spacing_m,azimuth_deg,rpm_lower,rpm_upper,thrust_total_N
0.6,90.0,524.1,524.1,10.046968625698604
0.6,90.0,539.82,534.58,10.388369731538273
0.6,90.0,550.3000000000001,545.0600000000001,10.652879857430197
0.6,90.0,560.78,555.54,10.917389983322117
0.6,90.0,571.26,566.02,11.181900109214036
0.6,90.0,581.74,576.5,11.459414383253801
0.6,90.0,597.46,586.98,11.82623085244581
0.6,90.0,607.94,597.46,12.112489467169395
0.6,90.0,618.42,607.94,12.412782524205937
0.6,90.0,634.14,618.42,12.796761987773069
0.6,90.0,644.62,628.9,13.097055044809615
0.6,90.0,655.1,639.38,13.426248514501971
0.6,90.0,665.5799999999999,649.86,13.861765514952483
0.6,90.0,676.06,660.3399999999999,14.290038405859425
0.6,90.0,686.54,670.8199999999999,14.688888941698071
0.6,90.0,691.78,681.3,14.978831135233696
0.6,90.0,697.02,691.78,15.28360789845361
0.6,90.0,707.5,702.26,15.684870899203993
0.6,90.0,712.74,712.74,15.952062524060947
0.6,90.0,723.22,723.22,16.350616449543963
0.6,90.0,723.22,733.6999999999999,16.60318048146542
0.6,90.0,728.4599999999999,744.18,16.99439734269496
0.6,90.0,733.6999999999999,754.66,17.385614203924508
0.6,90.0,738.9399999999999,765.14,17.776831065154052
0.6,90.0,744.18,775.6199999999999,18.168047926383597
0.6,90.0,754.66,786.0999999999999,18.697342009221995
0.6,-45.0,807.06,796.5799999999999,19.23685422905242
0.6,-45.0,817.54,807.06,19.769509335110612
0.6,-45.0,833.26,817.54,20.542385207801157
0.6,-45.0,838.5,828.02,21.017365733822995
0.6,-90.0,822.78,838.5,21.83072842770764
0.6,-90.0,833.26,848.9799999999999,22.531356474613418
0.6,-90.0,854.2199999999999,859.4599999999999,23.490518382595255
0.6,-90.0,885.6599999999999,869.9399999999999,24.352100444621822
0.6,-90.0,906.6199999999999,880.4199999999998,25.15016229969048
0.6,-90.0,922.3399999999999,890.8999999999999,25.880951539239327
0.6,-90.0,932.8199999999999,901.3799999999999,26.46555268417523
0.6,-90.0,943.3,911.8599999999999,27.085692702087535
0.6,-90.0,953.78,922.3399999999999,27.705832719999837
0.6,-90.0,964.2599999999999,932.8199999999999,28.32597273791214
0.6,-90.0,974.7399999999999,943.3,28.905795408524977
0.6,-90.0,990.4599999999998,953.78,29.63928772540653
0.6,-90.0,1000.9399999999998,964.2599999999999,30.16185394348193
0.6,-90.0,1016.6599999999999,974.7399999999999,30.799426108332
0.6,-90.0,1021.8999999999999,985.2199999999999,31.12959094969724
0.6,-90.0,1032.3799999999999,995.6999999999998,31.61345945280489
0.6,-90.0,1042.86,1006.1799999999998,32.09732795591255
0.6,-90.0,1048.1,1016.6599999999999,32.42622509137962
0.6,-90.0,1048.1,1027.1399999999999,32.60127880263955
0.6,-10.0,1037.62,1037.62,33.08145865167049
0.6,-10.0,1048.1,1048.1,33.58238655065758
