rpm_upper,policy_spacing_m,policy_azimuth_deg,policy_rpm_lower,policy_thrust_N,policy_power_W,policy_fom,baseline_thrust_N,baseline_power_W,baseline_fom,thrust_gain_pct,power_delta_pct
524.1,0.20094321982592617,-90.05479559327156,661.7426934400766,10.759168380966507,44.788499654186964,0.48033313698497654,8.91600821734842,43.81940372546177,0.4304048067303344,20.6724816609269,2.211568041401922
576.5,0.20033724182787618,-90.02933776435735,692.1248197845194,11.65089723864469,49.098439302175024,0.4807523380003393,9.704448244019712,49.63498075738367,0.42734647609846,20.057286572932796,-1.0809744398436854
628.9,0.19973126382982617,-90.00387993544314,722.5069461289625,12.714795453997205,55.03495109645236,0.4790296417783075,10.759728400877837,57.84591872858894,0.43151762847789493,18.170226796429763,-4.859405285488756
681.3,0.19912528583177605,-89.97842210652894,752.8890724734053,14.649487680452507,70.56134428094117,0.4780682668092485,12.486705818538171,70.34129923643115,0.43556482983077704,17.320676032131708,0.31282482254187627
733.7,0.1985193078337262,-89.95296427761471,783.2711988178484,16.173864377956992,88.2062446675738,0.4729415508607827,14.445963697908596,87.40587795481207,0.44018784444176734,11.961131262558494,0.9156898042663795
786.0999999999999,0.6074868161763939,-44.274098352994045,656.7570499642057,17.807812886763944,108.35446702801123,0.48696823689927765,15.805555528235898,107.22802401497064,0.4119292737476974,12.668060638242713,1.0505117700232145
838.5,0.5889491906586897,-46.35239851205286,669.327387404184,18.923489510606,124.34179806204597,0.4717017293724426,17.35452545900861,127.39915615232154,0.40320343197562963,9.04066236385019,-2.3998260134628513
890.9,0.19718760879652789,-90.27378192330298,934.9803576469963,23.362158682717542,176.682796276626,0.458283355752163,21.15844205988923,162.54214547319893,0.434944613598943,10.415306649661003,8.69968263447013
943.3,0.19718760879652789,-90.27378192330298,934.9803576469963,24.16042527372444,189.2833216287199,0.4468277132591211,23.673245335169284,195.25088984683342,0.43316975880625047,2.057934734581548,-3.0563590377461707
995.6999999999999,0.6118049999836876,-43.67810238475728,831.9129426268303,28.272037508849102,224.98957380649279,0.48685765124815883,24.50486216013356,216.2428463608421,0.3944638121760417,15.373175021748464,4.044863260380471
1048.1,0.5875600320628994,-46.40280901711708,837.9398634071854,29.380603754771244,243.8159780132297,0.46734443462936226,27.966536988524606,255.53505959819336,0.3983929720375899,5.0562812507922095,-4.586095388785743
