variable,level,metric,n,median,iqr,p5,p95,min,max
spacing_m,0.1,PLnorm,105,1.9286637067699293,0.42818668834645335,1.459143341327197,2.3430852472367785,1.3920151587427783,2.457949622320309
spacing_m,0.1,fom_total,105,0.8951,0.08460000000000001,0.7624599999999999,0.9931,0.7126,1.0122
spacing_m,0.1,thrust_total_N,105,89.6144,41.41969999999999,57.593,137.50235999999998,48.1985,156.6455
spacing_m,0.1,thrust_upper_N,105,52.6149,20.3968,35.81588,74.06088,32.9411,77.5251
spacing_m,0.1,thrust_lower_N,105,39.1879,23.6464,15.82326,70.94882000000001,9.7735,90.4379
spacing_m,0.1,power_total_W,105,689.45,441.69000000000005,382.658,1269.67,338.54,1515.78
spacing_m,0.1,CT_total,105,0.3329995755102041,0.15175648479800075,0.23185272553102876,0.5669253877551019,0.20196877551020403,0.6579885714285714
spacing_m,0.1,CP_total,105,0.18251023673469388,0.12022177959183672,0.10045979591836735,0.37030367346938775,0.08482448979591836,0.4284326530612245
spacing_m,0.1,interference_ratio,105,0.7707485928140709,0.3913113764880326,0.33119479332821555,1.1852229195585713,0.24660752224223983,1.4301285943805584
spacing_m,0.2,PLnorm,105,2.150200125379756,0.5868246024610946,1.4152502376729605,2.743201773251617,1.3027562862669242,2.9765370529104644
spacing_m,0.2,fom_total,105,0.5019,0.12769999999999998,0.38117999999999996,0.6226200000000001,0.3027,0.6631
spacing_m,0.2,thrust_total_N,105,24.1002,12.924800000000001,13.55186,43.29846,9.6661,47.4274
spacing_m,0.2,thrust_upper_N,105,13.6367,1.6003999999999987,10.22766,16.63778,9.5121,19.138
spacing_m,0.2,thrust_lower_N,105,10.4307,11.472599999999998,1.5619800000000001,28.329099999999997,-0.4504,32.7831
spacing_m,0.2,power_total_W,105,162.4,117.44,97.73,360.9119999999999,71.56,410.61
spacing_m,0.2,CT_total,105,0.09474467120181407,0.033595795918367366,0.05862938775510204,0.14278759183673465,0.04340673469387755,0.16100897959183672
spacing_m,0.2,CP_total,105,0.04293694693877551,0.026762220408163263,0.023556160241874527,0.09640979591836735,0.01580816326530612,0.10457142857142857
spacing_m,0.2,interference_ratio,105,0.7521409714322509,0.9916276860097952,0.11930557849662075,1.9983367338948486,-0.044521326545742104,2.3957447170517576
spacing_m,0.3,PLnorm,105,1.8102016806722687,0.5371789505691744,1.2193932210215006,2.251884886708068,1.0720185375901132,2.5083575992003126
spacing_m,0.3,fom_total,105,0.3889,0.08890000000000003,0.28558,0.4917,0.2335,0.5228
spacing_m,0.3,thrust_total_N,105,18.9907,9.4991,11.813279999999999,33.83798,10.4093,41.7149
spacing_m,0.3,thrust_upper_N,105,12.9087,0.8257000000000012,10.70844,14.401,10.0356,15.0659
spacing_m,0.3,thrust_lower_N,105,6.0083,9.9499,-1.35706,21.724739999999997,-2.4942,26.6562
spacing_m,0.3,power_total_W,105,153.59,89.69,101.098,312.39599999999996,95.69,387.71
spacing_m,0.3,CT_total,105,0.07497874285714286,0.03481705955851728,0.044850410106899906,0.12388995918367345,0.03224306122448979,0.13883755102040815
spacing_m,0.3,CP_total,105,0.041479062736205594,0.028614057142857145,0.022853070744332717,0.09079999999999999,0.01908469387755102,0.09751020408163266
spacing_m,0.3,interference_ratio,105,0.47143237692591927,0.7539038378011482,-0.10256349277956307,1.7658655892280253,-0.19329639245166041,2.2828630076926144
spacing_m,0.4,PLnorm,105,1.9430949549855612,0.4908383454292715,1.3118503211719885,2.294760568508016,1.2580286168521462,2.403085465000991
spacing_m,0.4,fom_total,105,0.4166,0.0615,0.34698,0.4772,0.3227,0.4902
spacing_m,0.4,thrust_total_N,105,20.4609,9.472999999999999,14.03374,33.22068,12.6608,37.6924
spacing_m,0.4,thrust_upper_N,105,12.8732,0.5129999999999999,12.2926,13.550460000000001,11.8615,13.5899
spacing_m,0.4,thrust_lower_N,105,7.4127,10.270299999999999,0.80954,20.32,-0.0962,25.0406
spacing_m,0.4,power_total_W,105,157.05,100.81,105.52199999999999,303.954,100.64,349.55
spacing_m,0.4,CT_total,105,0.07900770975056688,0.0308048713036235,0.05522926530612244,0.1261572244897959,0.0491434693877551,0.1342538775510204
spacing_m,0.4,CP_total,105,0.03863990004164931,0.025887183673469392,0.025317755102040814,0.09064326530612245,0.02275408163265306,0.09666938775510205
spacing_m,0.4,interference_ratio,105,0.5795337273665446,0.7849241875225919,0.06317825820748878,1.6015778688740865,-0.007540957905463667,1.9792124440791035
spacing_m,0.6,PLnorm,105,2.079419560748675,0.5013557733536032,1.3744047263986685,2.5761935336756165,1.2990387416254003,2.705024639211545
spacing_m,0.6,fom_total,105,0.4862,0.08109999999999995,0.38661999999999996,0.54924,0.3425,0.5788
spacing_m,0.6,thrust_total_N,105,24.6534,12.1965,15.53684,39.5674,13.3788,45.5224
spacing_m,0.6,thrust_upper_N,105,13.4341,0.7951999999999995,12.59012,13.75574,12.3897,13.7725
spacing_m,0.6,thrust_lower_N,105,11.4133,12.795599999999999,2.13092,26.24364,0.7605,32.1569
spacing_m,0.6,power_total_W,105,178.8,103.27000000000001,113.434,351.594,102.99,410.75
spacing_m,0.6,CT_total,105,0.09161433106575964,0.03536834285714288,0.06642832653061223,0.14626106122448976,0.05337591836734693,0.16178448979591833
spacing_m,0.6,CP_total,105,0.04365351473922902,0.02956387371928363,0.026244897959183673,0.10200000000000001,0.02319183673469388,0.1105469387755102
spacing_m,0.6,interference_ratio,105,0.8294609699198395,0.9840948503132027,0.16163420558241184,2.008712583253456,0.060270086066158406,2.405963113987505
azimuth_deg,0.0,PLnorm,75,2.0071127218512586,0.5352652496639152,1.3690578659829826,2.545996826336851,1.2880749885688159,2.8425854557640746
azimuth_deg,0.0,fom_total,75,0.4958,0.15335,0.37761,0.8910899999999999,0.3485,0.9348
azimuth_deg,0.0,thrust_total_N,75,26.2111,19.86795,15.20454,101.80831,13.3684,142.2776
azimuth_deg,0.0,thrust_upper_N,75,14.0168,3.9624000000000006,13.37581,66.02253999999999,13.3071,76.9349
azimuth_deg,0.0,thrust_lower_N,75,10.7398,14.0694,1.67655,39.724869999999996,-0.059,66.9011
azimuth_deg,0.0,power_total_W,75,198.97,162.71999999999997,108.744,833.7729999999999,100.84,1352.36
azimuth_deg,0.0,CT_total,75,0.09827631020408163,0.05762307834698506,0.06215665306122448,0.38069238095238084,0.052896122448979586,0.5677118367346938
azimuth_deg,0.0,CP_total,75,0.05226161632653061,0.057912097913347386,0.025654897959183673,0.22486831020408146,0.02347857142857143,0.3919836734693878
